id,code,name
38003600,3.03,African
38003599,3.02,African American
38003573,1.02,Alaska Native
38003572,1.01,American Indian
8657,1,American Indian or Alaska Native
38003616,5.03,Arab
8515,2,Asian
38003574,2.01,Asian Indian
38003601,3.04,Bahamian
38003575,2.02,Bangladeshi
38003602,3.05,Barbadian
38003576,2.03,Bhutanese
38003598,3.01,Black
8516,3,Black or African American
38003577,2.04,Burmese
38003578,2.05,Cambodian
38003579,2.06,Chinese
38003604,3.07,Dominica Islander
38003603,3.06,Dominican
38003614,5.01,European
38003581,2.08,Filipino
38003605,3.08,Haitian
38003582,2.09,Hmong
38003583,2.10,Indonesian
38003593,2.20,Iwo Jiman
38003606,3.09,Jamaican
38003584,2.11,Japanese
38003585,2.12,Korean
38003586,2.13,Laotian
38003597,2.24,Madagascar
38003587,2.14,Malaysian
38003594,2.21,Maldivian
38003612,4.03,Melanesian
38003611,4.02,Micronesian
38003615,5.02,Middle Eastern or North African
8557,4,Native Hawaiian or Other Pacific Islander
38003595,2.22,Nepalese
38003588,2.15,Okinawan
38003613,4.04,Other Pacific Islander
38003589,2.16,Pakistani
38003610,4.01,Polynesian
38003596,2.23,Singaporean
38003590,2.17,Sri Lankan
38003580,2.07,Taiwanese
38003591,2.18,Thai
38003607,3.10,Tobagoan
38003608,3.11,Trinidadian
38003592,2.19,Vietnamese
38003609,3.12,West Indian
8527,5,White
9178,RAC100,Non-white
8522,9,Other Race
8552,UNK,Unknown
